"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid"
5002,942.815,-38.2355,3348.65,1003.79,-135.342,3258.13,-86.78875,3303.39
5036,933.886,-38.8634,3403.63,1006.2,-135.667,3265.95,-87.2652,3334.79
5069,940.179,-42.2453,3481.16,1017.27,-137.16,3301.89,-89.70265,3391.525
5103,946.264,-53.2773,3550.84,1022.06,-137.806,3317.44,-95.54165,3434.14
5137,942.035,-54.506,3632.74,1028.02,-138.609,3336.77,-96.5575,3484.755
5170,952.052,-55.0856,3671.36,1008.12,-141.907,3358.18,-98.4963,3514.77
5204,983.685,-58.0315,3691.26,986.136,-142.21,3365.35,-100.12075,3528.305
5239,993.982,-57.8604,3680.38,984.903,-141.351,3402.79,-99.6057,3541.585
5271,982.516,-57.1929,3637.92,945.329,-141.273,3400.89,-99.23295,3519.405
5304,1012.71,-58.7943,3739.78,928.62,-154.748,3429.26,-106.77115,3584.52
5338,1029.64,-59.1507,3762.45,947.029,-158.235,3506.53,-108.69285,3634.49
5371,971.568,-82.1374,3587.86,955.706,-146.995,3538.65,-114.5662,3563.255
5405,979.696,-58.5845,3726.44,890.881,-162.206,3594.53,-110.39525,3660.485
5438,990.149,-58.4128,3715.52,870.644,-163.733,3628.37,-111.0729,3671.945
5471,982.366,-59.5564,3788.26,849.541,-156.63,3706.6,-108.0932,3747.43
5505,990.569,-60.0538,3819.9,843.772,-168.768,3739.95,-114.4109,3779.925
5539,1019.29,-60.9519,3877.02,851.619,-176.41,3848.12,-118.68095,3862.57
5571,1039.42,-61.3194,3900.4,874.149,-181.077,3949.93,-121.1982,3925.165
5604,1025.85,-62.1929,3955.96,866.918,-173.398,3782.42,-117.79545,3869.19
5638,987.1,-61.7212,3925.96,883.309,-176.676,3853.94,-119.1986,3889.95
5671,992.9,-62.0838,3949.02,954.263,-179.099,3906.79,-120.5914,3927.905
5706,997.508,-62.3719,3967.35,967.898,-184.365,4021.65,-123.36845,3994.5
5739,1002.71,-62.6969,3988.02,940.726,-185.262,4041.22,-123.97945,4014.62
5772,1007.86,-63.0194,4008.53,964.821,-187.125,4081.85,-125.0722,4045.19
5806,1015.73,-63.5114,4039.83,939.019,-190.804,4162.12,-127.1577,4100.975
5839,1010.2,-64.0795,4075.96,936.765,-178.291,4219.19,-121.18525,4147.575
5873,1035.34,-64.7376,4117.82,947.671,-177.88,4282.14,-121.3088,4199.98
5907,1026.01,-65.0826,4139.77,963.678,-180.3,4340.41,-122.6913,4240.09
5939,1032.69,-65.5057,4166.68,977.018,-182.796,4400.49,-124.15085,4283.585
5972,1041.37,-50.9898,4201.74,972.735,-185.592,4467.79,-118.2909,4334.765
6004,1032.81,-51.3126,4228.35,984.362,-187.81,4521.2,-119.5613,4374.775
6040,1016.49,-48.3698,4236.2,995.138,-170.665,4496.63,-109.5174,4366.415
6073,1005.93,-48.5932,4255.77,990.878,-172.733,4551.12,-110.6631,4403.445
6107,976.663,-49.4291,4328.97,992.354,-172.991,4557.9,-111.21005,4443.435
6141,952.422,-49.1395,4303.61,986.047,-191.282,4604.77,-120.21075,4454.19
6173,937.806,-48.3855,4237.57,991.035,-192.25,4628.07,-120.31775,4432.82
6207,937.29,-48.3588,4235.24,1001.76,-194.33,4678.14,-121.3444,4456.69
6241,941.633,-33.2176,4241.12,1027.5,-196.041,4719.34,-114.6293,4480.23
6274,934.992,-33.6353,4294.44,1035.33,-197.534,4755.29,-115.58465,4524.865
6308,929.776,-34.0077,4341.99,1039.2,-198.274,4773.09,-116.14085,4557.54
6340,894.061,-34.553,4411.61,1050.52,-200.433,4825.07,-117.493,4618.34
6374,934.464,-34.7613,4438.21,1056.86,-201.642,4854.17,-118.20165,4646.19
